zone_id,zone,stations,free_bikes,empty_slots,capacity,priority_score,latitude,longitude,bike_ratio,dock_ratio,imbalance,critical_stations,suggested_action,mean_station_risk,max_station_risk,critical_share,mean_local_pressure,mean_isolation_score
4,Zona 4,8,3,168,194,84.0,39.470709,-0.36482475000000003,0.015,0.866,0.9690721649484536,8,Enviar bicicletas,77.875,84.5,1.0,0.934,0.04699186021649049
3,Zona 3,5,52,51,103,66.4,39.454093,-0.3677386,0.505,0.495,0.009708737864077666,4,Mantener,66.52,88.2,0.8,0.763,0.35471066047933153
5,Zona 5,5,65,19,86,54.7,39.491456799999995,-0.38465540000000004,0.756,0.221,0.5116279069767442,4,Monitorizar,60.86,79.5,0.8,0.8,0.36387915316202635
6,Zona 6,3,22,39,68,51.3,39.47680933333333,-0.34317333333333333,0.324,0.574,0.3529411764705882,2,Monitorizar,55.233,80.6,0.667,0.788,0.27459361022656464
2,Zona 2,3,36,14,55,49.6,39.45709333333334,-0.3446883333333333,0.655,0.255,0.3090909090909091,2,Monitorizar,52.467,63.7,0.667,0.626,0.4551266803385756
1,Zona 1,4,30,50,80,25.8,39.480331500000005,-0.396714,0.375,0.625,0.25,1,Mantener,31.325,37.1,0.25,0.478,0.13356100493868275
7,Zona 7,2,18,20,38,18.8,39.4680695,-0.41212899999999997,0.474,0.526,0.052631578947368474,0,Mantener,22.3,23.7,0.0,0.297,0.19760636108530416
