origin_id,origin,destination_id,destination,distance_km,bikes_to_move,transport_km_bikes,origin_free_bikes,destination_free_bikes,destination_risk_score
sample-007,Avenida Peris Y Valero,sample-011,Hospital Nueva Fe,1.479,7,10.35,19,0,88.2
sample-010,Avenida Amado Granell,sample-011,Hospital Nueva Fe,1.77,8,14.162,18,0,88.2
sample-007,Avenida Peris Y Valero,sample-030,Colon Ii,1.151,2,2.303,19,0,84.5
sample-002,Avenida Constitucion,sample-030,Colon Ii,2.001,6,12.006,16,0,84.5
sample-020,Vicente Vidal,sample-030,Colon Ii,2.303,4,9.213,19,0,84.5
sample-020,Vicente Vidal,sample-004,Cirilo Amoros,1.952,5,9.758,19,0,82.6
sample-001,Calle Juan Xxiii,sample-006,Avenida Blasco Ibanez 3,2.497,7,17.482,15,1,80.2
sample-022,Conde Torrefiel,sample-023,Calle Aitana,1.607,6,9.644,14,2,48.3
sample-027,Avenida Campanar,sample-013,Avenida Pio Xii,0.795,8,6.362,18,2,37.1
